"filename", "language", "Python", "comment", "blank", "total"
"/Users/eileen/Workspaces/PeCatch-Artifact/code/pecatch_plugin/__init__.py", "Python", 12, 0, 2, 14
"/Users/eileen/Workspaces/PeCatch-Artifact/code/pecatch_plugin/detectors/allocinloop.py", "Python", 225, 0, 22, 247
"/Users/eileen/Workspaces/PeCatch-Artifact/code/pecatch_plugin/detectors/bool.py", "Python", 55, 0, 14, 69
"/Users/eileen/Workspaces/PeCatch-Artifact/code/pecatch_plugin/detectors/cfg.py", "Python", 121, 1, 32, 154
"/Users/eileen/Workspaces/PeCatch-Artifact/code/pecatch_plugin/detectors/loop.py", "Python", 39, 0, 5, 44
"/Users/eileen/Workspaces/PeCatch-Artifact/code/pecatch_plugin/detectors/loopinvariant.py", "Python", 195, 0, 33, 228
"/Users/eileen/Workspaces/PeCatch-Artifact/code/pecatch_plugin/detectors/memory2calldata.py", "Python", 130, 0, 18, 148
"/Users/eileen/Workspaces/PeCatch-Artifact/code/pecatch_plugin/detectors/redundantsload.py", "Python", 562, 0, 73, 635
"/Users/eileen/Workspaces/PeCatch-Artifact/code/pecatch_plugin/detectors/unchecked.py", "Python", 648, 0, 57, 705
"/Users/eileen/Workspaces/PeCatch-Artifact/code/pecatch_plugin/detectors/utils.py", "Python", 78, 0, 7, 85
"Total", "-", 2065, 1, 263, 2329
